what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142470347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142471674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142473094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142475591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142477356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142479058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142479464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142480634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142482521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142483005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142484128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142485939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142486409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142488437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142490605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142491557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142492914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142494645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142495238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142496611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142498817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142499458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142500956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142503015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142503476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142504834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142506737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142508564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142509968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142511793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142512448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142514118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142516381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142519940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142521235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142523653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142525263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142527899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142530442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142530943
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1472142533003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1472142546170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142554804
error,log,,,"Core exception while retrieving the content description",1472142556660
error,log,,,"Core exception while retrieving the content description",1472142556878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1472142556910
error,log,,,"Core exception while retrieving the content description",1472142557488
error,log,,,"Core exception while retrieving the content description",1472142557488
error,log,,,"Core exception while retrieving the content description",1472142557503
error,log,,,"Core exception while retrieving the content description",1472142557503
error,log,,,"Core exception while retrieving the content description",1472142557503
error,log,,,"Core exception while retrieving the content description",1472142557503
error,log,,,"Core exception while retrieving the content description",1472142557784
error,log,,,"Core exception while retrieving the content description",1472142557971
error,log,,,"Core exception while retrieving the content description",1472142557971
error,log,,,"Core exception while retrieving the content description",1472142557987
error,log,,,"Core exception while retrieving the content description",1472142557987
error,log,,,"Core exception while retrieving the content description",1472142557987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1472142560499
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1472142561609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472142563765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472142575709
